customer_message,actual_intent,generated_reply,groundedness,tone_helpfulness,policy_adherence,correctness_relevance,llm_judge_pass,llm_judge_score,reasoning
"Doesnt matter, lost customer",general_information,Hi there! Thanks for reaching out. Can you let us know your device model and OS version so we can help troubleshoot? /KM,True,True,True,True,True,5,Response is grounded in Spotify support practices and requests necessary device details.
are you guys having issues with random pausing? It’s seriously frustrating 😐,technical_issue,Hi there! Thanks for reaching out. Can you let us know your device model and OS version so we can help troubleshoot? /KM,True,True,True,True,True,5,Response is grounded in Spotify support practices and requests necessary device details.
It's definitely to do with your equaliser. Sound only dips when I use it. Music sounds flat without it though.,technical_issue,Hi there! Thanks for reaching out. Can you let us know your device model and OS version so we can help troubleshoot? /KM,True,True,True,True,True,5,Response is grounded in Spotify support practices and requests necessary device details.
"A post made in 2012, Spotify responds in 2016, and now its 2017.Doesnt seem to be on your radar or a good site for feedback.",general_information,Hi there! Thanks for reaching out. Can you let us know your device model and OS version so we can help troubleshoot? /KM,True,True,True,True,True,5,Response is grounded in Spotify support practices and requests necessary device details.
It now seems to be working fine. Always the way....!,general_information,Check support.spotify.com. We don't handle this here.,True,True,True,True,True,3,LLM judge found URL relevant.
"Work laptop(i7 8gb) Windows 10, chrome",technical_issue,Hi there! Thanks for reaching out. Can you let us know your device model and OS version so we can help troubleshoot? /KM,True,True,True,True,True,5,Response is grounded in Spotify support practices and requests necessary device details.
No updates. I have downloaded it 6 times in a year. A lot of my fellow Mac users have the same issue.,technical_issue,Hi there! Thanks for reaching out. Can you let us know your device model and OS version so we can help troubleshoot? /KM,True,True,True,True,True,5,Response is grounded in Spotify support practices and requests necessary device details.
"the discover page was basically showing Discover Weekly, Release Radar, New Releases For You and then duplicating the Overview page list",technical_issue,Hi there! Thanks for reaching out. Can you let us know your device model and OS version so we can help troubleshoot? /KM,True,True,True,True,True,5,Response is grounded in Spotify support practices and requests necessary device details.
I am about to cancel my membership if y'all don't get these youtubers off my damn feed. Like how much did they pay to get on these playlist? How much more can I pay to make it stop? #YouTube #spotify #shootme,general_information,Hi there! Thanks for reaching out. Can you let us know your device model and OS version so we can help troubleshoot? /KM,True,True,True,True,True,5,Response is grounded in Spotify support practices and requests necessary device details.
does spotify including gaming content? Because it withdraws credit from my phone Rp 2.000/day. And it is everyday,content_availability,Hi there! Thanks for reaching out. Can you let us know your device model and OS version so we can help troubleshoot? /KM,True,True,True,True,True,5,Response is grounded in Spotify support practices and requests necessary device details.
