customer_message,top1_customer,top1_response,top1_similarity,top2_customer,top2_response,top2_similarity,top3_customer,top3_response,top3_similarity,top4_customer,top4_response,top4_similarity,top5_customer,top5_response,top5_similarity
I am not thankful for or given their Young Charlie playlist idolizing Charles Manson. Don't support race wars or I won't support you.,"no, it's working as intended cutting from the last manson album to an endless stream of ""suggested songs"" of bland shitty metal #thanks",You can try adding more artists into your playlists to reduce the number of Suggested Tracks you get. We hope this helps! 😉 /MS,0.3890989422798157,"please bring us a follower feed like has had for years 🙏🏿The trash music you guys recommend is not something I want to hear. I know what I want to hear, which is why I followed the artists.","Hey there, we can see how this would be handy! Suggest it in our Community at and get support from other users. If you ever need anything else, just shout and we'll come running 🏃 /JX",0.37441933155059814,"where's Bonzo goes to Bitburg by Ramones? In fact, the whole album, Animal boy, is not available. Wtf.","Hey Lucas! Just to check, what country is your Spotify account set to? /MT",0.3642951250076294,I don't get it. Do you not get to pick what you listen to anymore? Is this a cult?,Hey there! Can you let us know what's happening exactly? We'll see what we can suggest /NS,0.35692936182022095,can you explain why almost all Sinterklaas children's songs on your platform contain racist and/or degrading lyrics? How do I easily find non-offensive songs?,"Hi, help's here! Were you referring to the Behind the Lyrics feature? Can you also send us the Spotify URI of the songs? Just right-click the track &gt; Share &gt; URI. We'll check them out /DN",0.3364158868789673
"hello. Can you help me get a customer service number, so that I could speak to someone about my family account?",do y'all have a customer service number,"Hey there! We don't have telephone support, but we'll be happy to help here. Can you let us know exactly what's going on? DM us your account's email address as well. We'll take a look /RB",0.5847772359848022,I had premium via family plan. It was canceled. Got it again. My account info was erased from families account. Don't know my email or password I used. I only know my username. Please help me!,"Hi there! Don't worry, we'll get to the bottom of this. Could you send us a DM with your account's username? We'll take a look backstage /DR",0.565039873123169,have been charged twice $9.99 for a personal account when I want a family account for $14.99. Can you fix this...acct Cervelott,Hi David! We've just sent a DM your way. Let's carry on chatting there /AU,0.5616329908370972,what is a phone number I can reach you guys I need you to refund me my money you guys are charging me even though I’m part of a family plan,"Hey Kevin! We don't offer telephone support right now, but we can still help you here on Twitter. Not to worry, we've just sent a DM your way. Let's carry on chatting there /MT",0.5541713237762451,how do you not have a customer service number 😡,"Hey Mary Ann! We don't have any specific info to share on this, but we can help out here on Twitter. Can you let us know what's happening exactly? /NG",0.5524426698684692
When Can I Start Streaming #Reputation On Spotify? This Is Getting Ridiculous It's Been Out For Nearly 3 Weeks Now.,why is reputation still not on spotify it's been two weeks,"Hey there! We’ll have it available to you as soon as it’s available to us. For now, check out the singles: /LP",0.7614821791648865,Thank you! It’s so annoying that #Reputation still isn’t available on Spotify,"You're welcome. Don't worry, we’ll have it available to you as soon as it’s available to us! For now, check out the singles: Give us a shout if you need anything else /DN",0.737389326095581,any news for when #reputation will be out on Spotify #taylorswift,"Hi Ginger. Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: /DR",0.7273187637329102,"i subscribed as premium user in Oct 25, but today I cant use spotify because I must unsubscribe it first. It just a week!!",Hi there! We've just sent you a bit more info over DM. Let's carry on chatting there /GU,0.6974980235099792,i so badly wanna listen to reputation. it needs to be released on spotify already,"Hey there! We’ll have it available to you as soon as it’s available to us! For now, check out the singles: /NG",0.6943947076797485
yo you've uploaded the wrong song under Weezer's 'QB Blitz' 😂😂,"Hey , the remix of this song isn't a remix at all, mind fixing it ?","Hmm, that's odd. We'll get this reported. Great detective work! 🔍 /DT",0.42925986647605896,ur new music playlist is mostly guff this week. Sakes 😩,Thanks for the feedback – we appreciate it! We’ll get this passed onto the right team. Give us a shout if you need anything else /ZO,0.38695523142814636,My it's okay now 😍 I can download and stream all the songs of 💜💜💜,Nice. Glad to hear it's all good. Just let us know if we can help with anything else. /GK,0.3858075737953186,why isn’t Danny Elfman’s album So-Lo streaming? 😪,"Hey there! Can you send us the link to the album? Also, what country is your Spotify account set to? /DN",0.3770509660243988,You guys mixed up songs. Breezeblocks by Alt-J has been replaced with their other song Fitzpleasure. Both play the same song!,Hey Angie! Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link. We'll check it out /SY,0.36920836567878723
library limit (10k songs) is a pretty big failure of premium streaming services. Shows the limits of subscription vs buying. 😕,Why's there a 10K limit on songs in My Library? Why not unlimited? I just switched to Spotify from another and feel duped.,"Hey Matt, sorry to hear you feel that way. We have more info about this here: /JP",0.8050481081008911,"You *REALLY* need to finally, actually, DO something about the 10,000 song limit in users' libraries. Especially for a service that prides itself on helping discovery of new tracks.","Hey there, we hear you! We’d love to see your vote, and hear your feedback on this idea: /TB",0.7069300413131714,why is there a limit to how many songs you can put in your library? I don't understand.,Hi there! There's currently a 10k limit in Your Music (Songs + Albums + Artists). More info here: /AU,0.7030026316642761,That makes ZERO sense. What does me having more songs in my library have to do with other people having less songs? Still no answer to why?,"For more details about this, you can read the official response to the idea in our community: /JP",0.6616401076316833,Wasn’t aware of the 10k limit - that’s a shame. Any plans to extend anywhere near Apple music’s 100k?,"We hear you! We’d love to see your vote, and hear your feedback on this idea: /QI",0.6421236395835876
What do I do??,Guys a little help here? Isn't working…,"Hey Tiago, help's here! We'd suggest deleting your message as it contains your private info (email address). Can you send us a DM instead? We'll have a look backstage /AG",0.36551254987716675,Help your boy out,"Hey there! Don't worry, help's here. Can you DM us your account's email address? We'll take a look backstage /MT",0.28380271792411804,help?,Hey Christian! We'll help out. Can you let us know what's happening exactly? We'll see what we can suggest /AN,0.27612775564193726,How to avail???,Hey! Could you DM us your account’s email address? We’ll check this out backstage /DR,0.27601200342178345,Howwwwwwww?????,"Hey! Don’t worry, we can help. What’s happening exactly? Can you let us know the device/OS you’re using? /DR",0.2445783168077469
"IDR4.990 for 3 months, really? 4.990 or 49.990??",Hey do you mean IDR 49.900?? cuz the last time i checked it's not IDR 4.900 for sure,Hey Fanny! This is an offer we have right now for new users who never had Premium before. Take note that this is only for payments made through PayPal and credit/debit cards. The promo for mobile payments is at 49900 IDR. Hope this clears things up /JP,0.5951329469680786,Hey ! How come it said 3 months for .99$ and when I check what I paid I actually got 9.99 or something for december ? :'( Can you guys fix that ?,Hey there! Can you DM us your account's email address? We'll take a look /RB,0.5537480115890503,"i get an offer, that says 09 kr. for 3 months. but when i want to pay it cost 99 kr.",Hi there! Can you DM us your account's username or email address? We'll take a look backstage /DN,0.5284587144851685,"Can i get the 3 months for $0.99 if i have already had premium before?, i had previously bought it","Hey! Right now, this offer's for new subscribers only. We can take a look at your account to be sure. Just send us a DM with your account's email address or username 🙂 /TJ",0.5239418745040894,I think the price of 4.990 thousand turns me right in. It's 49.990 thousand,Hey! Can you DM us your account's email address or username? We'll take a look backstage /KM,0.49978116154670715
If that’s true then there is zero chance to make a living out of online streaming!,"No streaming with Sonos possible, are you aware?","Hi there, help's here! We're looking into this with Sonos at the moment. We'll have it back up and running as soon as we can. Let us know if you need anything else /AV",0.430478036403656,library limit (10k songs) is a pretty big failure of premium streaming services. Shows the limits of subscription vs buying. 😕,Hi Ryan! Thanks for the feedback. We'll be sure to pass it onto the right team. Let us know if there's anything else we can do to help /DV,0.41852903366088867,why aren’t you streaming on black Friday?,Hey there! That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /MX,0.40923476219177246,why isn’t Danny Elfman’s album So-Lo streaming? 😪,"Hey there! Can you send us the link to the album? Also, what country is your Spotify account set to? /DN",0.393835186958313,"but people have Netflix account without living at same address,didn't give me a real reason?","The T&amp;Cs were set in place to make sure only your family members enjoy the Premium features. We don't have any more info on this right now, but we'll let the right team know that adding members in a different address is something you'd like to see /QI",0.3857795000076294
Does have a blocking function of sorts? There are artists I don't want any music from ever.,"Hey , can I block certain artists? I don't want to listen to artists who are continuously violent to women.","Hey Heather! We're afraid this isn't possible at the moment. To help make this happen, you can show your support by voting for the idea here: /LO",0.6693918108940125,Hey how do I block a song from your Christmas playlists?,"Hey Justin, help's here! This isn’t possible right now, but we have more info about this on our Community. Check it out: Stay awesome 😁 /TI",0.6243970394134521,I wish had a feature that allowed you to add artists/songs to a 'don't play ever' list. Won't name names in public.,"Hi Camellia! This isn’t possible right now, but we have more info about this on our Community. Check it out: /LP",0.6061102747917175,Do songs periodically get removed from ?!,"Hey, help's here! Can you tell us what's happening exactly? We'll see what we can suggest /BE",0.5404137969017029,"please PLEASE let us block users. I love everything else about Spotify, I pay for your premium, but it’s completely ridiculous to me this basic safety feature has yet to exist. I desperately want to block my ex as I have on every other platform. Prioritize this","Hey Chloe! We're afraid it's not possible at the moment, but you can support the idea at to help make it happen. Let us know if we can help with anything else /AC",0.5261330008506775
I'm on Samsung galaxy 7 and but I just realized I'm using an older version. I'll update and see if that fixes it,"im on iphone 7, and IOS11 and version 8.4.28","Thanks for that info. Does logging out, restarting your device, and logging back into Spotify help? Keep us posted /JI",0.6454585194587708,"Hi I'm on a Samsung S7 Edge, Android 7.0 and Spotify version 8.4.28.875 armV7. Thanks",Thanks for that info. Can we have you check out the steps under “Downloads unexpectedly removed” at They should help with this. Let us know how it goes /JI,0.5959802269935608,Issue persists on mobile… iPhone 7+ running iOS 11.1.2.,Gotcha. Can you send us a DM? We'd like to share some info with you in private /LM,0.5829988718032837,I first noticed it when I upgraded from my iPhone 7+ to the X. Is this a known issue?,We're afraid we don't have that info right now. Can you DM us your account's email address? We'll take a closer look /LM,0.5790998935699463,Yes! It is a constant problem on the iOS 11 update. Like I said I’m not the only 1 encountering the problem.,Thanks. Can you try reinstalling the app? You can find the steps for your device at Keep us posted /SJ,0.5774509310722351
This is what Breezeblocks should sound like! Just to make your job easier.,"Also, Step up your ocean sound game. AND YOUR THUNDERSTORM SOUNDS GAME ITS LIKE HELLA WEAK BRO","Hey! We didn't mean to startle you. We'll pass the feedback on to the right team. If you haven't had a subscription before, check out Also, we’d love to have more ocean sounds available, but we have some info about content at /MU",0.4211221933364868,You guys mixed up songs. Breezeblocks by Alt-J has been replaced with their other song Fitzpleasure. Both play the same song!,Hey Angie! Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link. We'll check it out /SY,0.37136805057525635,"I've dragged so many songs to the same playlists over + over. One of the aims of technology is to make everyday tasks easier, right? =]",Hey Daniel this sounds like a great idea! Suggest it in our Community at and get support from other users /BH,0.30511343479156494,"The one thing I'd really, really, really like is the ability to drop a song from the mix. That way I can enjoy the rest on repeat shuffle. Would be a nice feature",This sounds like a great idea! Suggest it in our Community at and get support from other users 🙂 /BP,0.30264630913734436,Dry by edit I meant move tracks around to any order through phone. Not just random. I want to rearrange playlists.,"Thanks for the heads-up. We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /MT",0.3008520007133484
"tried using my app this morning says I need to log in. Tried logging in, said PW invalid. Tried resetting PW, said username invalid",is there something wrong the app? I can’t log in as it says my password is invalid but it’s not?,"Hey Hannah, help's here. Can you send us your account's email address or username via DM? We'll take a look under the hood /AY",0.7738279104232788,I cant sign in im new to your app and I have tried all my emails and it always says:An unknown error occurred try again later.,Hey Kosta! That doesn't sound good. Could you DM us your account's email address? We'll take a look backstage /AU,0.7036967873573303,I've reinstalled the app and am now getting the attached error code when I try to log in.,"Hmm. Can you try using a different internet connection, and see if it makes a difference? /LM",0.6769226789474487,"Nope, doesn’t work 😔 I’m able to log on with my Facebook, but after that it just gives the same error.",Hmm. Could you send us your account's username or email address via DM? We'll take a look under the hood /LP,0.6315786838531494,hey there I cannot log back into my account please can you help xx,Hey there! Can you DM us your account's email address or username? We'll see what we can suggest /RH,0.6292557120323181
You don’t need a DM it’s a general question. When can we change our usernames?,What about changing our usernames? Which team is working on that?,"Hey Jay, help's here! Could you send us a DM with your account's email address? We'll take a look backstage /CH",0.5818551182746887,What do you mean by “DM”?,"Thanks! A DM (or ""direct message"") is where you can send a private message. Also, we'd suggest you delete your other tweet as it contains your private information. Can you send us a DM instead? Keep us posted /MS",0.5737770795822144,Just dm'd you,We've just sent you a reply via DM. We'll carry on helping out there /JM,0.5210134983062744,will ever respond to my dm? The workd may never know.,"Hey there, we've just replied to your DM! Check that inbox 🙂 /P",0.519135057926178,I sent you guys a dm. I seriously need cflarification in here,"Hi, help's arrived! We've just sent you a bit more info over DM. We'll carry on helping out there /LS",0.5136879086494446
can you tell me why tf yall take up .94 GB of storage?,spotify is using almost 8gb of my storage what,"Hey Wen! What device, operating system, and version of Spotify are you using? We'll look into this /SY",0.5934597253799438,can anyone tell me why deletes all the downloads from my phone every few weeks?,Hi Emma! We're sorry to hear that. You can check out the steps under “Downloads unexpectedly removed” at Let us know how things go /HR,0.4599669575691223,It's not like the albums take up any actual space. It should basically just be an index of albums that I have clicked save on.,"1: We understand. Right now, we feel 10,000 tracks is a reasonable limit as less than 1% of users reach it. Don't worry, our devs are...",0.4581536054611206,"I'm still not sure why the UI shows 4,000+ songs to download when it maxes out at 3,333.","Hey Monique! Currently, you can only download 3,333 songs for offline use per device, on a maximum of 3 different devices. Hope this clears things up /AR",0.43966740369796753,hey I just tried to save a new album to my library and it says my library is full. Is this a bug?,"Hey! If you have 10,000 songs in Your Music, you won't be able to add more. Anything else, we're here for you 🙂 /ND",0.41747981309890747
How come I suddenly don't have Spotify premium anymore ? Meer mensen last van? #spotify,my spotify premium stopped working,Hey there! Can you DM us your account's email address? We'll take a look backstage /RB,0.707810640335083,Cant activate my spotify premium :((((( #sendhelp,Hi there! Can you DM us your account's username or email address? We'll see what we can suggest /DN,0.6845890879631042,I've been trying to get Spotify premium for the past two days with my PayPal and it hasn't been working.,Hi there! Can you send us your account's email address or username via DM? We'll take a look /GT,0.6762850284576416,"My account spotify is premium, why my account spotify have a advertaising? why? Please respon",Got it. Can you DM us your account's email address? We'll take a look under the hood /AN,0.665250301361084,spotify pls :(,Hey there! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /KL,0.6610013246536255
"When you post about that P9, please be firm. As i tapped on the link, it foes with wrong infos...",Well that’s bullshit I wanna buy the P9 membership using my paypal,Hey there! PayPal should work when you're signing up for the 3 months for 9.00 PHP offer. Hope this helps /AR,0.5849553346633911,I purchased the P9.00 premium service for 3 months,Hi! We've just sent a DM your way. Let's carry on chatting there /RA,0.4626927971839905,How to? I have checked my account and all I can see is the 129/3mos premium? Where is the 9php?,Hi there. Can you DM us your account's email address? We'll take a look backstage /LM,0.4407733976840973,hey can u guys please make the 9PHP promo for every user ITS A HARD LIFE U KNOW,"Hey Nini! Right now, it's limited to new users who never had Premium before. Not to worry, we're taking on all feedback about this. In the meantime, you can check the current offer we have for you at Hope this helps /JP",0.40247681736946106,I tried but it says I can’t get this promo and offers me the P129/month. Why’s that?,Hey there! Can you DM us your account's email address or username? We'll take a look backstage /RH,0.3837319016456604
"hi. can you pretty, pretty please put the band ""jank"" back on spotify?",put this on spotify please,"Hey! We’d love to have all of his stuff available, but we have some info about content here: /NQ",0.5964990854263306,You ok spotify ??,"Hey, help's here. Does logging out and back in help at all? If the issue persists, try restarting the device. Let us know how it goes /AC",0.5896881222724915,I WILL AS SOON AS MY SPOTIFY IS FIXED BUT NO ANSWER ]:,Hey! We've sent a DM your way. Check it out 🙂 /L,0.5786854028701782,"Hello, is there away to move my music from the ""groove music"" over to Spotify?",Hey there! We have some more information on this here: /NS,0.5437697172164917,I already know that spotify please talk to jyp instead 😂😂😂😂😂,"We’ll have your favorite tunes available to you as soon as they're available to us! No to worry, we'll make sure to pass your feedback on to the right folks. If anything else comes up, we're just a tweet away /NG",0.5430550575256348
Touch preview removal iOS App Spotify Where are lost your promises to find a solution?,"iPhone 7 , iOS 10.3.3 , Spotify 8.4.28",Thanks. Can you try logging out and back in again? Does that help? /GK,0.6064290404319763,can you please bring back the „touch preview“ feature??? Please? 😭🙏🏼,Hey Maria! We have more info about this here: Give us a shout if you have any questions /FR,0.6052931547164917,"iOS 11.2.2, Spotify 8.4.28.1104",Thanks for the info. Does logging out &gt; restarting your device &gt; logging back in help at all? We'll be on the lookout for your reply /MT,0.5967891216278076,"iPhone 6s Plus, iOS 10.3.2, and the most recently updated version of Spotify",Got it. Can you try to see if logging out &gt; restarting your phone &gt; logging back in to your account makes a difference? /DV,0.592177152633667,Spotify 8.4.25.906 and iOS 11,"Got it. Is this happening on 3G/4G, WiFi, or both? Do you get the same issue when you use Spotify on other devices? /KB",0.5861803293228149
can anyone tell me why deletes all the downloads from my phone every few weeks?,Why do you constantly remove my downloaded albums from my phone,Hey! We're sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at Let us know how it goes /SJ,0.7949424982070923,Is it just me or does erase your downloaded songs about once a month. I just blew through all my data AGAIN because of this bug.,"Hi Eric, sorry to hear that! We'd suggest checking out the steps under “Downloads unexpectedly removed” at They should help with this /CX",0.6658123731613159,about once a week my spotify deletes all downloaded music. Is this a known bug or something I'm doing wrong? It's obviously very frustrating...,"Hey there, help's here! Can you let us know the device, OS, and Spotify version you're using? We'll see what we can suggest /JI",0.6303080320358276,4 times in the last 3 weeks my collection has been taken off of downloads. I open the app and randomly I'm missing a thousand songs,"Hey there, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at They should help with this. Let us know how it goes /JP",0.6027947068214417,can you stop removing my downloaded albums,"Hey there, we'd love to help! Can you let us know your device, operating system, and the version of Spotify you're running? We'll see what we can suggest /AG",0.5741549730300903
Why the hell did I just get a Spanish ad? Americano. No habla Español.,this is a fake ad. i was charged 129 pesos. attn,Hi there! Can you send us a DM with your username or email address? We'll take a look under the hood /HR,0.46995875239372253,"I cancelled my subscription as it wouldn’t work , when I emailed for help you replied in Spanish i am in UK.... you are still taking my money without permission !! #nothappy","Hey Rachel, that doesn't sound good. Can you DM us your account's email address? We'll take a look backstage /JN",0.4533664584159851,"""Offer not available to users in Quebec..."" then why do I see the ad?","Hey there! Currently, we’re not able to offer the 3 months for 0.99 CAD in Quebec due to circumstances outside our control. We hope to be able to make it available in the future. Could you DM us your account's email address and a screenshot of the email/notification? /LO",0.4457350969314575,"Estoy en un plan familiar y soy el único que se le acabo el premium, que debo hacer?",¡Hola! Hemos respondido a tu MD. Revisa tu bandeja de entrada /JF,0.43087446689605713,Why is my Spotify half-English and half-German?,Hey there! Can you let us know what language your Spotify app is set to? Just click the arrow &gt; Settings &gt; Language /LM,0.38536757230758667
