customer_message,support_response,customer_tweet_id,support_tweet_id
"Already handled, just venting. It was a pretty big bummer.",Let us know if there’s anything else we can do for you! We're happy to help out any way we can! ^FR,657,656
", it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin…",I'm sorry your book arrived this way! You can find replacement/refund options here: ^VS,659,658
Feliz #Halloween2017,¡Que lindoooooooooo! 😍🐶🎃 ^JJ,661,660
"delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge",Oh no! Please contact us via phone/chat here: We're unable to view order details via Twitter. ^KL,664,663
"Anna Inspired in idea lab at school to be package being shipped to Narnia! ""Amazon can go anywhere"" according to Anna.",You're not lion! She even shows witch way is up! That's quite the wardrobe! ^AC,667,665
They sent the feckin' order to Germany! Some dozy driver is looking for an address in the wrong country! I'm so done with Amazon!,Oh my! I'm sorry for the troubles! Contact us by Phone or Chat: &amp; we'll be glad to help! ^FR,670,668
Yeah idk the shipping company and it says “mike Ziemer” signed for it in the mail room at our building lol,That's okay! Thanks for checking! Please contact us by phone or chat and we can look into this: ^BN,676,675
Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!,Please share your details here: and I'll get back to you. 2/2 ^HD,686,684
Details sent. Please check.,Thanks for confirming that the details have been shared. Our team will give it a look and reach out shortly. ^AB,685,687
Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself.,Please report this to our support team here: and we'll look into this. 2/2 ^HD,690,689
since when you stop giving 20% off videogame pre-orders (amazon prime members) im confused? why?,We still offer discounts on eligible physical game pre-orders. For further details on Prime benefits: ^MB,693,692
Just pulled another #Amazon delivery out of the bushes since the #amzl people can’t walk the extra 2 ft to my door. So tired of this.,I'm sorry we let you down! We'd like to make sure this is addressed. Please provide some details here: ^BN,695,694
my order hasn’t arrived (it was due 14th October). Can you help?,Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on your order? ^AJ,1695,1692
but I can’t find the options to cancel or re-order?,I'm sorry for the delay! We'd like to take a further look into this with you! Please reach us here: ^AG,1693,1696
I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund?,Canceling your Prime membership can be done here: You'll be shown your estimated refund there. ^SK,1699,1697
Thats the thing I told customer service. I created a new email address for the Prime trial and forgot it. What can I do so I'm not charged?,Hey Corey! Even on the new account you made you can turn of the auto renew through the same link ^SK posted for you. ^AJ,1698,1700
You have to log in. I don't remember the email address I used. Can you look up the account by my bank information?,It would be best if you get in touch with us by phone or chat.use this link to do so: ^CH,1701,1704
"I have tried. It’s not allowing me to access my account to cancel my membership, I haven’t even used prime in almost 3 months.",I'm sorry to hear you're not able to access your account. Please use this link instead to contact us: ^LH,1706,1705
"being charged for amazon prime &amp; when I go to cancel it, it’s saying I’m not a member😠😠😠",Hmm... We'd like to take a better look at this with you. Please reach us via phone/chat here: ^KP,1708,1707
where can I chat with a support member for a false charge,I'm sorry you've encountered an unknown charge! We'd be happy to look into this with you here: ^BL,1710,1709
if I add another adult to my Amazon household (with their own account) can they see my wishlists/photos/order history?,Thanks for reaching out to us! You can find info on adding household members here: ^MO,1713,1711
Seriously ? I order 6 identical washing up bowls and they are all being dispatched as separate orders? My phone is buzzing non-stop!,Sorry for the inconvenience! Check out how to manage your notifications here: ^SG,1715,1714
"I ordered some parts of my costume late, but my amazon has a map of the driver and they're like, 6 houses away.",I'm sorry for the long wait; what is your current order status showing when you review it: ^WM,1718,1716
"My package just got here. All good, thank you!","Thank you for keeping us posted, Rachael! ^BA",1717,1719
"Saying I preordered to early, terrible customer service. Won’t renew prime if this isn’t fixed.","I'm sorry for the frustration, Anthony! Can you tell me more about which pre-order bonuses are missing? ^EA",1722,1720
Never got the beta and now I’m being told I won’t get ANY of the other stuff. Including Last Jedi content and or bonus classes. Anything! :(,"We'd like to see what we can do to help. What date did you place the order on, and which version did you order? ^MB",1721,1723
Deluxe edition on September 16th. It definitely had the pre orders on the profile because that’s why I ordered. Also why I paid for Prime..,Could you link us to the page of the item on our website? This will allow us to take a closer look at all options. ^VB,1724,1725
Star Wars Battlefront 2 Elite Trooper Deluxe Edition Playstation 4 preorder info is in description. Thanks for help,Thanks for the link. We are not a participating retailer to receive the bonus content. Details: ^BE,1726,1727
Two fake items in one day. Time to cancel my Amazon Prime membership.,Oh no! I'm so sorry to hear this. Was the item sold by Amazon directly or Third-party seller: ^LH,1736,1734
"Fulfilled by Amazon. It’s quite disturbing you’re selling counterfeit items, and can’t be trusted.","We'd like to look into this with you in real time, Bry. When you can, please ring or chat in with us: ^BL",1735,1737
please spend time &amp; money to fix your app. Constant issues with it.,"Oh no, Barton! Have you tried uninstalling and re-installing the app? Perhaps a power cycle too? Please let us know. ^KL",1741,1739
I have. No luck.,Sorry you're still having trouble! What error are you seeing when you try to use the app? ^JP,1740,1742
My Kindle not working properly is breaking my heart! 😩💔,"Oh no! We'd like to help you with this, Kelly! Can you tell us more about what's happening with the Kindle? Thanks! ^AJ",1745,1743
It’s not allowing me to update it to register my new amazon account. I read I’d have to do so manually. Thx 4 response.,No problem! You may need to deregister the Kindle from the old account. You can see how here: ^AJ,1744,1746
that is not my apartment!!!!!!! This is the sending time!!!! Where is my package!!!!!!!!!!,"(2/2) Also, for your security, I'd recommend deleting the image, as it contains your tracking number. ^WT",1748,1747
that is not my apartment!!!!!!! This is the sending time!!!! Where is my package!!!!!!!!!!,I'm so sorry! We'd like to make sure this is addressed. Please provide some details here: (1/2),1748,1749
Truly. This is the strangest vampire book I’ve ever received. 😜 cc #misship,I'm sorry you received an incorrect item. Have you checked out our return/replacement options here: ^FJ,1752,1750
先日教えていただいたように、fireTVstickとルーターの両方を再起動してみたら、前回のようには途切れなくなりました！ありがとうございます😊今の所大丈夫ですが、あとは72時間TV当日に接続が切れてしまわないように祈るのみです...。 お礼と報告まで。,わざわざご連絡をいただき、ありがとうございます。問題が改善されたようで、何よりでございます。万が一再度お困りのことがございましたら、ご遠慮なくお知らせください🙏 YM,2533,2532
ご丁寧にありがとうございます！トライしてみて改善されなければCSへご連絡します。返信いただけると思っていなかったので本当に嬉しいです！,こちらこそリプライいただきありがとうございます！ご様子を見ていただき、改善されない場合、お早目にカスタマーサービスにご連絡いただければと存じます。よろしくお願いいたします m(_ _)m HM,2535,2534
ありがとうございます！ テレビにstickを接続しているのですが、WiFi接続がすぐに切れてしまい、数分しか見ることができません。,かしこまりました。端末、ルーター、モデムを再起動し改善するかお試しください。 改善しない場合、カスタマーサービスにお知らせください。 ET,2537,2536
fire TV stickを購入したのですが一瞬しかうつりません.°(ಗдಗ。)°.どうしたらいいのでしょうか...,アマゾンです。お困りの状況が特定できないのですが、エラーメッセージや画面の状況、操作方法など詳しい状況を教えていただけますか。ご利用端末はテレビですかPS4などのゲーム機でしょうか。ET,2539,2538
Wasn't tracked as sent via Royal Mail. I've emailed the seller.,How long has it been since you've e-mailed the seller? ^TR,2544,2542
"Just now, don't use Amazon much so didn't know the process if you don't receive an item","Please allow 48 hours for the seller to respond, Allen. Let us know how it works out and if we can help with anything else! ^CN",2543,2545
Yeah I sent you a DM too. Had an email saying when it had been dispatched but nothing since.,We're unable to view any account information via Twitter. What's the current tracking shown here: ^AG,2547,2546
"Hi, I ordered an item on 18 Oct which said it would be delivered by 20 Oct and I still haven't received it. Can you help? Thanks",I'm sorry you haven't received it yet! Have you had an e-mail regarding the order? Please check junk/spam and let us know! ^TG,2549,2548
"I'm learning German, so I don't really mind between German/English. If I have to choose, I say German.","Du kannst bei den Kategorien ""Bücher"" oder ""Bücher Fremdsprachig"" auswählen, wobei ersteres deinem Wunsch entspricht. Gruß ^JS",2551,2550
"Hi. How can I restrict results to German language books, while searching titles on amazon.de?","Hi, just a question at the beginning - do you prefer answers in German or English? ^NW",2553,2552
"I made a same day ship mid Monday and it said it would deliver that day. It didn’t. Today it still says out for delivery, still no show.","I'm so sorry for the late delivery, Kimmie! Our carriers can deliver until 8 PM, please keep us updated on its arrival. ^BE",2556,2554
I allowed it well past 8 PM. I was never notified about any other delays,I'm sorry that it still hasn't arrived. Please contact us so that we can look into this together: ^EA,2555,2557
"hello, I’m having an issue with a same day ship order. Can you help me?",Hello! We'd love to help. Can you tell us a bit more about what's happening? ^EB,2559,2558
Erm I bought this item for £5.99... why am I only getting £1.67 back?!,We'd like to take a closer look into this refund for you. Please reach us at: ^CC,2561,2560
Where is my order?,I'm sorry it hasn't arrived! Please reach us here: so we can look into available options. ^SJ,2565,2564
"Hey , why is your Prime 2-day delivery not arriving until Monday? Is there a holiday I don't know about?","Most items are readily available for shipping; however, some aren't and may have a longer processing time than others. ^QJ",2568,2566
"yes i did,but amazonuk is not doing the refund process.if they do it .i will get the money","I would like someone from our team to take a look into this for you, Sanu. Please reach out here: ^LA",2570,2569
i mailed amazonuk so many time. but i havent got any progress.customer care just saying thats in the billing section.no i havent got refund,Have you had a chance to speak with your bank regarding the refund? ^EA,2572,2571
and redund issued on 13th no sing of my money and amazonuk just saying its in the billing department.no signof devlp,When you last contacted us what information did we provide? Have you spoken with your bank to see if they have the refund? ^LR,2574,2573
amazonuk took money without any they are not giving it back nor giving clear statement of my refund proces,"I'm sorry for the frustration! Without giving personal/account details, could you tell us a bit more about what's going on? ^DG",2577,2575
the queue is clueless on Amazon Household,"I'm sorry for the frustration! Without giving account/personal details, can you please provide us with more info? ^AC",2580,2578
"I've been in the prime queue, kindle queue, the echo queue, and now on hold again.",We'd like to look deeper into this issue. Please provide us with more information here: ^LH,2581,2582
Well ok but said it’s been dlvd so I can’t see how they will bother to deliver it now! I think they have washed their hands of it,We're definitely here to help! Please reach out to us by phone here: ^SE,2584,2583
not dlvd after 1 wk. U lied 2 saying left in safe place on Fri. Yesterday u said wld be dlvd 24-48hrs. Sort this now!,I'm sorry your order hasn't arrived yet! Please let us know if you haven't received it within 48 hours. ^EB,2586,2585
No on the card. It works only half the time. Yes on USPS. They say my delivery person won’t deliver anything over 30 lbs. just sends it back,We'd like another chance to look into this. Please reach out by phone or chat: Please keep us updated. ^FJ,2591,2587
Want to speak to someone at corp to address these issues.,Have you tried deleting the card from the account and re-adding it? Have you reached out to USPS about these deliveries? ^AF,2594,2592
Multiple calls to call amazon call center with zero resolution and never a promised call back.,Can you tell us what insight / advice was provided with when you spoke with us last? We'd like to help if we can. ^BG,2598,2595
Rapidly losing faith in and their #esl CS ability to solve problems. No resolutions or follow ups.,"Sorry for the poor experience. Without giving any account information, could you tell us what's going on? We'd love top help! ^MH",2602,2599
"just noticed I paid £4.95 delivery on Amazon simply because I did not select the FREE delivery option, after I spent enough to qualify... what a RIP OFF, why is it not free automatically when qualifying","Hi, you can edit your order at any time before it enters the dispatch process. To do this please check out our help page: ^KI",3655,3654
There was only one costing a lot more than £20 and FBA -stating eligibility !,"We'd like to take a look into this with you. When you have a moment, please reach out to us here: ^AC",3724,3722
Why do you say that an article is eligible for free delivery then offer nothing but standard option at £4.75?,Is everything in your basket eligible? You can find more info here: Let us know if this helps! ^EB,3726,3725
i reset my password 3 times and it still says incorrect you gotta be shitting me,I'm sorry for the trouble! Have you tried the steps outlined here? ^LA,3729,3727
All of them,Hmm.... Let's take a closer look into what's going on here: ^ML,3728,3730
"um, my account was locked as soon as I tried to login on desktop. I still haven’t received an email on how to get it unlocked...",I'm sorry your account is locked! Please reach out directly to us here: so we can take a closer look. ^TN,3733,3731
I can’t log in because it’s locked.,"The link ^TN provided will allow you to contact us without signing in! Select ""skip log in"" and you'll be in touch in no time! ^VB",3732,3734
Warum ist es mir (und scheinbar auch ein paar anderen) nicht möglich per Bankeinzug zu bezahlen?,Hier findest du alle Infos darüber: ^AS,3737,3735
Kann ich dann wenigstens mein Amazon-Konto aufladen um zu bezahlen. Ich habe keine Kreditkarte und möchte auch keine,"Du hast die Möglichkeit, Amazon.de Geschenkkarten aus dem stationären Handel für deine Bestellungen einzulösen. Gruß ^DS",3736,3738
"na ultima atualização da entrega do meu pedido, consta que não foi possível localizar o meu endereço, poderia ajudar?",Olá Georgiano. Sinto muito em saber disso. Por favor entre em contato com o nosso SAC no seguinte link: ^JJ,3740,3739
Thanks for ruining #Halloween - still no sign of the costume I ordered in Sept. Guess Rosie will just have to sit this one out.,"Not what we like to hear at all, Ramya! Was this shipped by us or a seller? You can check here: ^BL",3742,3741
infórmese... no voy a perder más mi tiempo...,¿Puedes explicarnos bien el inconveniente y mandarnos los detalles en este enlace por favor? ^JJ,3744,3743
why your videos on Germany breaks too?,Have you already tried a restart? Kind regards ^NW,3749,3747
"Many times, but still failing, and it happen with some show",Is this still ongoing? What devices are you using? ^AN,3748,3750
Sadly yes,What devices are you using for Amazon Video? ^AN,3751,3752
"Mac book pro, with Chrome",In this case please contact my colleagues via: They will help you! Regards ^DW,3753,3754
"Mac book pro, with Chrome",Hi! I just wanted to ask if my colleagues could assist you? Regards ^TA,3753,3755
"I need to change the language of my account to be able to get support, which I don't have the time to do, there's any other way to contact?",Changing language is just a simple click: You can reach our support here: ^UK,3756,3757
you pay for prime expecting next day delivery. Then receive 2 emails half hr apart 'failed delivery' but your sitting at home 😡,I'm sorry your parcel wasn't delivered. Please reach us here: so we can look into this with you. ^MO,3759,3758
So sad ruined his FIRST Halloween by failing to deliver his tiny costume 2 days running #whypayprime? #amazon #prime,Oh no! Did we miss the expected delivery date from your confirmation e-mail here: Please let us know. ^KL,4788,4787
website impossible to navigate - all I want to do is email about a faulty item - 20 min going round in circles. Infuriating 😡😡😡,I'm sorry for the trouble! Let's go over your available options here: ^LL,4829,4828
", hi, I've bought an Amazon echo for for a present do they also need an Amazon alexa?",Alexa is a free download you will need to set-up your new Amazon Echo! You can learn more here: ^BN,4831,4830
Apparently if you preorder something then move and update your address the preorder doesn't update automagically. #lessonlearned?,"Uh oh! If you can't recover it, please reach out to us here and we'll see what options are available: ^MB",4834,4832
注文した覚えのないものが届きました。 家族も誰も何もしていません。 勝手にレビューも書いてたり、ギフト券も購入してる様子。 今パニック状態なのですが、どこに連絡すればよいのでしょうか？,アマゾンです。重ねてのご案内となりますが、カスタマーサービスにて状況を確認させていただきます。こちらからお問い合わせください。 サインインが出来ない場合は、フリーダイヤル：0120-999-373へ直接ご連絡ください。ET,4838,4836
アカウント凍結して不正アクセスを調べてもらうことになりました。 ありがとうございました。,恐れ入ります。調査結果を今しばらくお待ちくださいますようお願いいたします。リプライありがとうございました。 SM,4837,4839
"already tried help by mail and still problem persist, please close my account and don't want to be a customer anymore","I'm sorry. We can't access your account via Twitter. For assistance, please reach us here: ^WT",4850,4846
"how is Amazon going to solve this? By mail, text, call, customer phone service, no one is able to help me",We want our team to investigate this further with you. Please reach out to us using the secure link:,4849,4851
"no luck it keeps asking for code witch is not sending to my phone can Amazon eliminate the 2 step method, this is so frustrating","I'm so sorry for the frustration, Luis. We should absolutely be able to help! Please contact us using the link TN provided. ^SD",4853,4852
"no luck on receiving the code by text or call, will I loose my account, yesterday a phone representative tried to help already",I'm sorry for the challenge signing in. Please use the link from above again so that we can help. Keep us updated! ^MH,4855,4854
USAs Amazon. Com,Please reach out to us directly here: We'd love to help get you logged in! ^TN,4857,4856
Im not receiving 2step code by text or call in my smartphone can't log in into my account already got help by phone with no luck,Sorry you're having problems logging in. Please let us know which Amazon site you are using (.com .es). Thanks. ^SE,4859,4858
"To the person or persons that stole that big, heavy Amazon box of my porch today: enjoy 200 13 gallon garbage bags!","Oh no! Have you had a chance to report this to us: If so, what options and insight did we provide? ^GM",4861,4860
"Hey , maybe don't ask people to pay $8 for ""launch day arrival"" if you're not going to ship the package until the day after launch!","I'm sorry for the poor experience, Skylar. Were you given a reason for the delay? Check here: ^FD",4864,4862
They said it was UPS. UPS says they never received the package to deliver ¯\_(ツ)_/¯,"To confirm, what does the latest tracking update show? Please check here: ^BE",4863,4865
Ordered one simple camera from 3x and all the 3x it’s been lost in transit. Ha you’ve got to be kidding me.. 😒😒😒😒😒,"I'm very sorry about your lost package, Lodi! We'd like to help! Please reach out to us here: ^HM",4868,4867
Solo dice “en reparto” pero no tiene un número de contacto con el repartidor que es de Amazon Services 😩,"Gracias por la información, Quirino. Por favor, contacta con nuestros colegas de Servicio al Cliente para una atención personalizada y puedan darte información precisa sobre tu paquete. Lo puedes hacer a través del siguiente enlace: ^LC",4947,4945
Excelente servicio! Recibí mis paquetes hace un par de minutos!,¡Nos alegra saberlo Quirino! Te agradecemos que nos hayas contactado y esperamos que puedas disfrutar de tu compra. Quedamos a tu servicio. ¡Saludos! ^PC,4946,4948
No. Como puedo contactarlo,Quirino al ingresar al correo de confirmación de compra te aparecerá un enlace en el cual esta el número de guía de tu pedido. También puedes utilizar la siguiente información para contactar con el transportista: ^PC,4950,4949
¿como puedo trackear si esta próximo a ser entregado un paquete que tiene fecha de hoy? Gracias,"¡Hola, Quirino! Lamentamos cualquier confusión generada, ¿te has puesto en contacto con el transportista asignado a la entrega? ^LC",4952,4951
"Got 2 packages delivered today from via their AMZL service. One package gets dumped at Leasing Office, which is not the address on package &amp; 1 package gets delivered to address on package, which is my apartment. 2 drivers, different results. I was home all day.",I'm sorry for the frustration! We'd like to investigate and escalate this to the correct team. Please send us your details here: ^JP,4954,4953
"I swear Amazon are trying to annoy me, I've just ordered another package and had a shipped to wrong carrier facility message again and my order may be delayed. 1st echo dot and then 3 packages lost and now another echo dot possibly delayed.","I'm sorry for the ongoing trouble with your deliveries! Have you had a chance to contact us about this: If so, what information or options were we able to offer? ^SB",4957,4955
I have no option but to see if my delivery arrives on the scheduled date. But I will contact customer services if it doesn't arrive on time.,Thanks for the additional information. Keep us posted on the arrival of your packages! Let us know if you have any further questions. ^SW,4956,4958
"I would like it replaced not refunded. But the sale is over, and doesn’t look like you have it in stock at the site. What are my other options?","Thanks for reaching back out to us! If your item is not eligible for replacement, you can still return the item for a full refund instead. You can view your replacement and/or return options here: ^BN",5117,5116
#Amazon who packages these games. Ordered to games and both came rattling inside their cases. One is broken. Games may have suffered scratches.,I'm sorry your items arrived in these conditions. Let's explore your return or replacement options here: ^GG,5119,5118
It's now a police matter. You could check the police report.,"I'd like to have a member of our team ensure this is escalated to the correct teams for investigation. When you have a moment, please send us as many details as possible here: ^SB",5121,5120
Amazon delivery guy refused to give the police his ID and suddenly started sounding like an attorney. Good grief,"We'd like to make sure this is addressed, Eric. Would you tell us more about what happened? ^AM",5124,5123
"AMZL US Tracking ID TBA566517950000 it says delivered to mail room, I checked the mail and the front offce, the driver listed 1 package, in that one package was my XLR cables...I'm missing the controller.","I understand your frustration! Our team would like a chance to address this concern. At your convenience, include your details here: ^SJ",5128,5126
And you guys have officially lost me as a customer. Was promised today...was never shipped. Give me my refund please so I may take my business else where.,I'm truly sorry for the inconvenience! We don't have access to your account via Twitter. We'd like to help if we can. Please connect with us here so we can assist you: ^MO,5127,5129
"the more I order from you guys, the more I'm going to stop being a customer....YOUR DRIVERS ARE USELESS. Once again they marked a package delivered when it clearly wasn't. I received one of two packages, yet they were both marked delivered. 3 times in 1 month!","I'm so sorry to hear your order was scanned as delivered when it wasn't. We'd like to help if we can. Just to confirm, who's the carrier shown on your order here: ^CC",5131,5130
still don't know if my order has shipped or not.. BUT at least I'm a good person!,"I'm sorry for the frustration! We'd love to help but are unable to access your Amazon account via Twitter. You can view the latest tracking information for your order, including if it has shipped, here: ^LR",5134,5132
"No, I can't check. It shows nothing. And customer service rep was NO help.","If you would like to contact our support team via phone, please give us a call so we can review these details with you: 1-866-216-1072. ^WM",5133,5135
WHERES MY PC CASE AMAZON. Are loss memes organic.,I'm sorry you have received your item! Can you please tell us the intended delivery date stated in your order confirmation e-mail? ^AC,5137,5136
Just ordered . Let’s see what gets here first. My package from which has been “On It’s Way” since 1:22am or the food. #TheRaceIsOn,I'm sorry for this wait. Has the tracking information on your order updated: Deliveries continue through to 8PM so please keep us in the loop on your order's arrival. Thank you. ^DO,5139,5138
親切にどうもありがとうございます(;_;)(;_;),突然のリプライで、驚かせてしまってすみませんでした (´・ω・`) また、お困りごとやご不明点などあれば、ご遠慮なくお声がけくださいませ。 引き続き、Amazonをよろしくお願いします(o*。_。)oペコッ,5142,5140
いえいえ！ 問題解決しました！！助かりました、ありがとうございます(´；ω；｀) はい！これからもお世話になります〜🎶,( ´∀｀)bｸﾞｯ! TY,5141,5143
今までコンビニで支払いが出きるという支払い方法でAmazonさんにお世話になっていたんですけど、選択画面にその支払い方法が表示されなくて、色々いじってみたんですけどどうにも……！,一部の商品では、コンビニ・ATM・ネットバンキング・電子マネー払いが選択できない場合がございます。詳細は、下記ご参照ください。 なお、クレジットカード以外でのお支払いをご希望の場合は、Amazonギフト券のご利用をご検討くださいませ。TY,5145,5144
なんかAmazon支払い方法変わりました？？,おはようございます！(＾◇＾) Amazonのお支払い方法にて、何かお困りでしたか？TY,5147,5146
Trying to get a friend's playlist on my Amazon music app but it keeps giving me the following message,Very strange! Is your friend able to replicate the issue on his app? You might also need to try uninstalling and reinstalling the app. ^JP,5149,5148
Amazonプライム凄く良い良い,お褒めいただき('ω' )三('ω')三( 'ω')光栄ですっ！！ プライムの特典は様々ご準備しておりますので、ぜひご活用くださいませ~♪ TY,5152,5150
いつもお世話になってます(´ω`),ご愛顧いただき誠にありがとうございます！ 今後とも末永くどうぞよろしくお願いいたします♪┗(＾ω＾)┛ SM,5151,5153
is one of the best app in the world,"Appreciate your kind words, Dhiraj. Enjoy your weekend. :) ^MK",5156,5154
Thank you so much once again for kinds of word,You're welcome Dhiraj. :),5155,5157
Okay amazon lost my package gr8,"Oh no! I'm sorry to hear your order hasn't arrived! Have you had a chance to contact us about this issue? If so, what options were we able to provide? We want to make sure this issue has been resolved for you! ^BN",5282,5280
hey amazon - please help me :( i hVe tried calling and chatting with y’all but keep hitting walls. DM?,"We'd like to help in any way we can, Juan! I've enabled direct messaging. Without providing personal or account information, please tell us a little more about what's going on. ^FD",5285,5283
I’m looking to reroute all my packages (except 1) to a nearby Amazon locker. I’ll DM you now :),Thanks for the information. We've responded to your DM. ^GG,5284,5286
Amazonで頼んだ商品が届かないよぉ 追跡は配達完了になっておる 郵便局に電話したけどどーなるんだろ,ご心配をおかけしております。 配送業者にすでにご確認中とのことですので、一旦配送業者からの回答をお待ちくださいませ。 なお、配送業者からの回答をお待ちいただいても商品がお手元に届かない場合は、下記URLよりカスタマーサービスにご連絡ください。 TY,5288,5287
का एकाउंट परमानेंटली डिलीट कैसे करते है?,Kindly reach out our support team here: for more details on account closure. ^MK,5291,5289
Solicitud (foto del estado de cuenta),Puedes también comunicarte a través del siguiente enlace de contacto para que se revise tu caso: ^PC,5293,5292
Jamas volvere a comprar en :'v,"¡Hola! Lamentamos cualquier molestia ocasionada, ¿puedes contarnos lo sucedido? ^LC",5296,5294
Que hueva tendré que veré vaselina por Amazon prime video. Obvio me pasan una lana por promocionar prime video,Hola Val Damon. Puedes hacer una prueba gratuita de Prime Video si nunca lo has usado. Accesa este enlace: ^JJ,5298,5297
Just had my first Prime Now delivery. 2 hours flat 👏👏,Awesome! Enjoy! ^BL,5300,5299
砂来のウィッグ コロネロの使える思ってのんびりしてたら、家が引越し荷物だらけで探せなかったんは焦ったわぁ (Amazonで頼んで昨日届いたありがとうprime),Amazonをご利用いただき、ありがとうございます！ またのご利用お待ちしております(*´︶`*) TY,5302,5301
"I have 2 echos and set up multi room music playback. How do you switch back and forth between multi room audio and playing on only one? Sometimes I like whole house, sometimes I don't want to wake up my wife. #echo #alexa","Please try asking Alexa to stop playing your music, and then ask her to play your music again, but without referencing the ""Multi-Room Music group"" you were previously using: ^JR",5304,5303
10 hours ago.,Gotcha- Let us know if you haven't heard back from them on Tuesday. ^BL,5308,5306
Yes.,Can you tell us when this information was submitted? Account Specialists can take up to 2 business days to investigate an account when the information has been sent. ^EZ,5310,5309
"Still not working. They sent me a link to reset the password, try and sign in with new password and still locked out.",Did information get sent to our Accounts Specialists to look into when you contacted in? ^DO,5312,5311
Someone keeps trying to buy playstation cards on my account. Having a hard time getting customer service,"Thanks for letting us know about this, Jon. We're here to help! We can be reached 24/7 here: Please do keep us in the loop. ^BL",5315,5313
