customer_message,intent
"Any known issues at the moment with the facebook interface? Can't seem log into the app via facebook at the moment, oh and: this is on the screen in chrome:",technical_issue
When uve thought u have gotten a good deal 3mos for only 9 but it was overall a scam my card s already deducted but my subscription is s still free fixed this,billing_payment
"hiya, I've been charged for the full £9.99 when I usually get charged as a student and this month it has gone up? can you help me?",billing_payment
"hey, don't know if you know, but you can't control the volume on the Xbox one app from your phone like you could the computer. Would be very appreciated if you updated.",playback_audio
Hey feature request. A button that stops Christmas songs playing before 1st December. Thanks.,feature_request
"A day later, computer turned off overnight, and it's still frozen on the same song. The player isn't responding to any clicks.",playback_audio
ok thx,non_support
And this is why I’ll love Spotify forever and why you are my favorite music platform. Thank you! 🙏🏽💯❄️,non_support
Fasho thank you for the help,non_support
"why is this album on Spotify if it's not playable? It would be super if was available, THIS IS #2NE1 playlist would be complete if it had all the songs from their first mini album",content_availability
why aren’t you available in India..,content_availability
Why is speed gang still not on Spotify 😒 get your shit together,content_availability
"where's Bonzo goes to Bitburg by Ramones? In fact, the whole album, Animal boy, is not available. Wtf.",content_availability
