customer_message,support_response,intent,labeling_note
"Hi, I can't seem to download songs in my tablet even though I can on my phone. The app looks completely different. Please help","Hi Rob, help's here! Can you let us know your device's model, OS, and Spotify version? We'll see what we can suggest /DV",technical_issue,
"Windows 10, Google Chrome.",Thanks for the info. Can you try using an incognito/private window? Let us know if that helps /CE,general_information,
Hey why did music get taken off Spotify? I like the music and I was curious why it would be taken off,Hey there! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /MX,content_availability,
"can you help, my wife has received an email to renew her spotify student but the institution is not recognised, but she has had student for a year signed up through nus extra, please help as she doesn't want to use any other services as this is the best","Hey, help's here! Could you send us a DM with your wife's account's email address or username? We'll take a look backstage /CO",account_access,
Its not functioning,"Hey there! What's happening exactly? Also, can you let us know what device, operating system, and Spotify version you're using? We'll see what we can suggest /NS",technical_issue,
Not sure on that but it's been going on for 1-2 months.,Alright. Can you DM us your account's email address or username? We'll take a look backstage /RH,general_information,
"my wife is trying to accept my new Spotify Family plan and she's getting the error ""undefined - Oops something went wrong, please try again."" Please advise.",Hey there! Help's here. Can you DM us both your email addresses or usernames? We'll take a look backstage /PB,subscription,
just run the latest update as prompted by my Marantz wi fi player and now Spotify is not an option on my player - what's happened?,Hey Leslea! We've just sent you a DM /DR,technical_issue,
Please cek DM thanks you 😊🙏,We've just sent you a DM 🙂 /AN,general_information,
when I try to add my son to my Spotify family account it says whoops something went wrong. I only want to add 4 other people to my account. I have successfully added three,"Hi Dawn, help's arrived! Can you shoot us a DM with your account's username and email address? We'll take a look backstage for you 🔍 /AV",technical_issue,
I paid for premium and i still havent got premium i have sent a DM,Hey John! We've just sent you a bit more info over DM. We'll carry on helping out there /AC,subscription,
"the discover page was basically showing Discover Weekly, Release Radar, New Releases For You and then duplicating the Overview page list","Thanks for letting us know! Just to check, are you able to see your recommended music after the relaunch? /HR",technical_issue,
Hate to burst ur bubble but,"Hey David! We don't currently offer Filipino support, but we can help out in English via Twitter. We hope that's cool with you /GU",general_information,
Hey I need some help!,"Hey, help's here! Can you tell us what's happening exactly and on what device? We'll see what we can suggest /JM",general_information,
Thank youuuu!!!! It's finallllllly fixed!!! 💚🖤💚🖤💚😘,"Glad to hear! If you ever need anything else, just shout and we'll come running 🏃 /KL",non_support,
hi... I top up my mobile phone number for 130.00 and I am trying to pay your spotify premium for 129.00 but I am getting an error message that i don't have enough balalnce on my mobile phone number...,Hey! We've just replied to your DM. Check your inbox /RH,billing_payment,
"Doesnt matter, lost customer",We understand your frustration. Can you DM us your account's email address? We'll take a look backstage /MG,general_information,
"Hi! In Turkish ""şey"" word always written separately. For example: ""bir şey"" Fix this please",Hi there! Thanks for the heads-up. We've just reported this. Give us a shout if there's anything else we can do to help /DV,technical_issue,
"got PW reset message, follow link, enter new password but then get this message. Generate new reset e-mail, same thing. Happening on Chrome and Firefox. Help?","Hey Sebastian, help's here! Could you send us a DM with your account's email address or username? We'll take a look backstage /CO",technical_issue,
best playlist to listen to at work? help.,Hey! Maybe this playlist will help: Let us know if you like it 😉 /CB,general_information,
have been giving me problems all month and yet no one can solve my issue :/,"Hey there, that doesn't sound good! Could you let us know what's happening exactly? We'd love to help out /WP",general_information,
Unfortunately it’s giving me an error when I try to uninstall as well /:,Hmm. Can you send us a screenshot of the error message you're getting while reinstalling the app? We'll see what we can suggest /KB,technical_issue,
Hey why are there certain songs that the app wont allow me to play anymore?,Hey! Are you getting any error messages whenever you try playing certain songs? A screenshot of what you're seeing will also be handy /MA,technical_issue,
It's definitely to do with your equaliser. Sound only dips when I use it. Music sounds flat without it though.,Hmm. Could you send DM us your account's email address or username? We'd like to take a look backstage /JT,technical_issue,
My problem is under Windows7 Pro when I minimized the app and then open it back.,"Hi there, the cavalry's here! Does logging out, restarting your device, and logging back into Spotify help? Keep us in the loop /JI",technical_issue,
Screw for the massive mobile app update. It's freaking impossible to enjoy the app without premium now and I can't afford that shit,Hey Connor! Is your Spotify misbehaving? What issues are you having and on what device? We'll help out /SY,technical_issue,
Your advertisement says “get 3 months for 9kr” but why do I get the message that I’m not eligible for the offer - advertised with no conditions - for me it’s 99kr from first month.,"Got it. Just to confirm, are you attempting to redeem this promotion on an existing Spotify account? Keep us posted /JI",subscription,
You guys are the best!,"No worries! If you ever need anything else, just shout and we'll come running 🏃 /DF",non_support,
down auf iOS?,"Hey, thanks for the report. We had a little hiccup earlier but everything should be running just fine now. Let us know if you have any other questions /BD",technical_issue,
"Done , thanks! ;) #launchInIndiaSoon 🤣😂🤣","You're welcome. If you have any other questions, just give us a shout. Take care! /KC",non_support,
Did you remove the 1986 The Fly soundtrack? =(,Hey! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /RA,content_availability,
I am about to cancel my membership if y'all don't get these youtubers off my damn feed. Like how much did they pay to get on these playlist? How much more can I pay to make it stop? #YouTube #spotify #shootme,Hi Logan! Could you send us a DM with your account's email address? We'll take a look backstage /QI,general_information,
"Hey , the remix of this song isn't a remix at all, mind fixing it ?","Hmm, that's odd. We'll get this reported. Great detective work! 🔍 /DT",technical_issue,
I have to restart the app 4 times every time to get past these loading screens. Really frustrating loading times. Don't think I'm getting a premium product for premium pengar,"Hey Joe, that doesn't look right. What device, Android and Spotify versions are you using? We'll lend a hand /SY",technical_issue,
That i did ages ago.,"We understand. Hopefully, Spotify will launch in your country soon 🎧 /CY",content_availability,
"I hate that I pay $10 a month for to download on my phone and on every Friday when my phone connects to the network, everything in a Spotify curated playlist gets deleted off my phone. I wonder if Apple Music does this...",Hey Zachary! Sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at They should help with this /KA,technical_issue,
I seem to be having a payment issue.,Hey Richard! Could you send us a DM with your account's email address? We'll take a look backstage /FR,billing_payment,
please for the love of god fix the issue with downloads being deleted.,"Hey, we understand how you feel about it. Just to check, is this happening with your downloaded albums or even to your offline playlists? /AY",technical_issue,
BRING SPOTIFY TO SAUDI ARABIA PULLEEAAHHSSEEE 😪😪😪💔💔💔💔🇸🇦,"Hi! We don't have any news about this at the moment, but we'd love to be there in the future. Hopefully we'll launch in Saudi Arabia soon /RE",content_availability,
"iOS 11.2.2, Spotify 8.4.28.1104",Thanks for the info. Does logging out &gt; restarting your device &gt; logging back in help at all? We'll be on the lookout for your reply /MT,technical_issue,
are you guys having issues with random pausing? It’s seriously frustrating 😐,"Hey Elias, that doesn't sound right. What device, operating system, and version of Spotify is this happening on? We'll lend a hand /SY",technical_issue,
I find discriminatory that only college students have a 50% discount. Could it not be extended to high school students as well? Thank you!,"Hey, we hear you loud and clear! We can’t make any promises but we’ll pass your feedback onto the right folks /K",content_availability,
my wife invited me to family premium. Where do I input the invite code to accept the invitation?,"Hey Steven! Don't worry, help's here. Can you DM us your account's email address or username? We'll take a look backstage /MT",general_information,
How can i see this while on desktop mode?,"It isn't available in the desktop app, but the notifications will be sent to your email. Enable it at /JL",technical_issue,
i have only Chrome... others are not allowed at office T_T,"We understand. Could you try if the same thing still happens even when using a different account? You can log in to our test account by entering the username ""css_test_1"" and password ""gU4edr6daKuT"". Keep us posted /DN",technical_issue,
Why isn't spotify available in Israel... This is so disrespectful honestly!,Hey Alexa! We're launching in new countries as often as possible. Be sure to add your email at Keep rocking 🤘 /MX,content_availability,
I have a student account and it has been charging me $9.99 and not the $4.99 :(,Hey there! Could you DM us your account's username and email address? We'll take a look backstage /DF,subscription,
"Yay all fixed, thank you :)","Awesome, that's what we like to hear! If you need us again, just... 🙂 /BP",non_support,
You Just Cheated Me Out Of A $10 Spotify Card And Now I Want My Refund Back Right Now.,We've just sent a DM your way. Let's carry on chatting there /CG,billing_payment,
Why don't companies ever look after long standing loyal customers? Apple/EE have offered me 6 months free with my which I didn't consider but after seeing this I might as well.,"Hi Darren. We're sorry you feel that way. We appreciate your feedback on this, and we'll be sure to pass it on to the right folks /LM",general_information,
They're back now. I was on my phone's 4g earlier. I don't know what happened but when I connected to my wifi it returned. Thank you though.,2: with anything else. 🙂 /LO,general_information,
Why does music play loud but very quickly go quiet on when I use the equaliser on Android?,"Hi Paul! Can you let us know what device, Android and Spotify versions you're using? We'll see what we can do /HR",playback_audio,
"uhm, you guys have been charging me twice for Spotify for the last 4 months",Hey there! Can you DM us your account's email address? We'll take a look /RB,billing_payment,
"It’s solved the queue issue, but not the playlist issue...",Thanks for getting back to us! Could you try a quick reinstall for us? Just follow the steps here: Does that help? /CG,playback_audio,
"3rd time in less than a month. This time it wasn't just the albums that were deleted, but also the multiple playlists I had. No update, no offline mode. Why am I even paying for ""premium"" if the service is anything but that?","Hey Fernando! Sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at Let us know how it goes. In the meantime, the tech team are still taking a closer look at this for you /K",technical_issue,
"every single time someone sends a Spotify link, it never works the first time. I have to A L W A Y S press the link twice for it to work 🤦🏻‍♂️🤦🏻‍♂️","Hey there! Don't worry, help's here. Can you let us know the iPhone model you're using along with its iOS and Spotify versions? We'll see what we can suggest /MT",technical_issue,
I had premium via family plan. It was canceled. Got it again. My account info was erased from families account. Don't know my email or password I used. I only know my username. Please help me!,"Hi there! Don't worry, we'll get to the bottom of this. Could you send us a DM with your account's username? We'll take a look backstage /DR",technical_issue,
"I was charged $4.99 for student spotify and i don’t get it, its annoying how this stuff keeps happening; can you please DM me!",Hey! We've just sent a DM your way. Let's carry on chatting there /TR,technical_issue,
"I know it can be difficult to keep up with the many iterations of your beautiful service, thankful there are many ways to use it. Thanks for your consideration and time today!!!","We appreciate you letting us know. If anything else comes up, just give us a shout. We're here for you... 🙂 /NG",general_information,
yang gratisan 7 hari itu gada lagi ya? soalnya baru nginstal ulang spotify ni. padahal kan mic drop remix dah release #MicDropRemix,"Hey! We can help out in English via Twitter, but we also have Indonesian support via email at /JP",general_information,
Hi just to let you know it’s really unhelpful to un-download 54 of my songs on a whim,"Hey, sorry to hear this happened again. Just to check, have you already tried what's suggested at /RH",technical_issue,
What's the best one?,"We're afraid we don't have info about that right now. You could probably check the ratings and comments of the other users to help you decide which one you're going to get. If there's anything else, just let us know /LO",non_support,
my search option for new music is gone?!?,"Hey there! Can you give us more info? What device, operating system, and app version are you using? /PB",technical_issue,
: 30 min of ad free music after this ad *plays ad* *plays one song* *plays 10 minutes of ads* Do you mean 30 minutes of music free ads???,"Hey, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /RB",technical_issue,
can you please bring back the „touch preview“ feature??? Please? 😭🙏🏼,Hey Maria! We have more info about this here: Give us a shout if you have any questions /FR,feature_request,
"the Kelly Jones, only the names have changed album is bringing up wrong artist and wrong album but the correct album cover. Please update","Hey there! Can you let us know which device and operating system you're using, along with a screenshot of what you're seeing? We'll see what we can suggest /NQ",content_availability,
just signed up for Family but can not invite any of them? Any help?,"Hey there! Can you DM us your account's email address, as well as the ones linked to your families accounts? We'll take a look /RB",subscription,
I tried disconnecting this supposedly other Spotify acct from FB but I have not been able to,Can you DM us the email address that you use for Facebook? We'll take a look backstage /SY,technical_issue,
I thought it’s Php9 for 3 mos? Why is it charging me 129?,Hey Jamie! Could you send us your account's username or email address via DM? We'll take a look backstage /LP,billing_payment,
SWITCHED OVER FROM APPLE MUSIC AND LESS THAN A MONTH IN MY ENTIRE MUSIC COLLECTION IS GONE. WHAT IS THIS,"Hey Josh, help's here! Can you DM us your account's email address and username? We'll take a look backstage /TX",technical_issue,
Thank ya for passing it along.,No worries. Just give us a shout if you ever need us again. We'd be... 🙂 /MC,general_information,
Why can’t I delete a song from a radio lost all together? The dislike button isn’t there for all songs.,We can see how that’d be useful! You can vote for the official idea here: /MX,technical_issue,
I have a problem with Spotify premium. Am I able to change which account has it because I bought it on the wrong account,"Hi there, we'd be happy to help! Can you DM us with both of your usernames and email addresses? We'll see what we can suggest /WW",subscription,
I’m having difficulty with my account and your help website is down.,Hey Amanda! The cavalry's here. How can we help you today? /DN,account_access,
I've sent you a DM,We've just sent you a bit more info over DM. We'll carry on helping out there 🙂 /CG,general_information,
where’s samuel’s album,Hey there! Can you let us know the country your account is set to? We'll have a look /LO,content_availability,
"Yes, I'm still having this issue, I can't log in with my spotify account but I can log in with my Facebook account.",Sorry to hear you're still having troubles. Does restarting your device help at all? Keep us posted /VV,account_access,
where can i see my info about my address?,Thanks for the info. Can you fire over your accounts' email addresses or usernames via DM? We'll take a look backstage /AY,account_access,
"I was quite excited when I got the advertisement that they are offering 9 pesos for the first 3 months, but whatever type of payment method I chose, it would charge me 129. Is this a false advertisement or legit? Thoughts?",Hey! Could you DM us your account’s email address? We’ll check this out backstage /BX,billing_payment,
Kind of amazed how after all these years still doesn’t have an option for detecting airplane mode and showing downloaded music only. 😞,"Hi there! We can see how that’d be handy. Suggest it in our Community at and get support from other users. If there's anything else, just let us know /AP",feature_request,
"Hey, , where’s your #BlackFridayDeals? 👀 Including (CC’ing) on this tweet as well.","Hey there. We can see how that’d be an awesome idea! We don't have any Black Friday deals, but here's some info to see if you're eligible for other offers/discounts we have: Thanks for taking the time to reach out – your feedback's been noted 📝 /AL",billing_payment,
"A post made in 2012, Spotify responds in 2016, and now its 2017.Doesnt seem to be on your radar or a good site for feedback.","Sorry you feel that way. Don't worry, we'll give the right team a nudge about this. Hopefully this'll be available soon /MC",general_information,
I need help ASAP very upset with your service.,Hey there! Can you let us know what's happening exactly? We'll see what we can suggest /FR,general_information,
"I'm still not sure why the UI shows 4,000+ songs to download when it maxes out at 3,333.","Hey Monique! Currently, you can only download 3,333 songs for offline use per device, on a maximum of 3 different devices. Hope this clears things up /AR",content_availability,
Why isn't Spotify available in my country everytime I try to download it I get the same result and it's frustrating,"Hey, help's here! Could you let us know where you're currently located? We'll see what we can suggest /FJ",content_availability,
Is this for every song and artists or only the artists? I see only a karaoke song. I want the whole song it's a remember to are grandmother,"We hear you. We do our best! But sometimes agreements are ongoing, or can't be reached with the content provider. Be sure to stay tuned /TX",feature_request,
I've done that when it started acting up and it didn't work,"Got it! Is this happening while connected to WiFi, 3G/4G or both? /DF",technical_issue,
". whys the discover page changed? Where is my recommended music? I don't want ""Focus with some new music"" - none of it is tailored","Hey Sam! What device, OS, and Spotify version are you using? Sending us a screenshot of what you can see on your end would be great too /AY",content_availability,
It now seems to be working fine. Always the way....!,Great! Glad to hear it's working. Just let us know if we can help with anything else. /RB,general_information,
I have logged in to multiple devices as well. All iPhones with iOS 11 updates. Same problem,Hmm. Could you give us the exact iOS 11 and Spotify app versions you're using? We'll see what else we can suggest /JU,account_access,
since ios 11 i cant skip songs on bluetooth and i no longer have spotify on my home screen or the swipe up? help,"Hey, sorry for the delay! Can you tell us the exact model of your iPhone along with the Spotify version you're using? We'll help you out /RR",technical_issue,
that doesn't answer my question,"2: are working round the clock to have your favorite tunes on Spotify. For anything else, we're just a tweet away 🙂 /LP",general_information,
hey why is that you have your ad to upgrade to Spotify Premium translated into Vietnamese but don't accept Vietnamese cards for payment?,Hey! Can you DM us your account's email address or username? We'll take a look backstage /KM,billing_payment,
i’m waiting,"Hey there! We’d love to have all of Day6's stuff available, but we have some info about content here: /GK",general_information,
"How to catch a Black Friday Discount One image from Facebook (ads) , the other from Spotify desktop",Hey there! Can you DM us your account's email address or username? We'll take a look backstage /MT,billing_payment,
You ok spotify ??,"Hey, help's here. Does logging out and back in help at all? If the issue persists, try restarting the device. Let us know how it goes /AC",non_support,
done!,Thanks! We've just sent a DM back your way. Let's carry on chatting there /TR,general_information,
Thanks,No worries! We'll be on the look out for your reply /DF,general_information,
"I was logged out of my account and when I try to log in it doesn't work. I try to reset my password and it says ""The CSRF token is invalid. Please try to resubmit the form."" Can you please help?","Hey Alyssa, help's here! Could you DM us your account's username and email address? We'll take a look backstage /BX",account_access,
"follow back, I need to communicate with you",Hey! We'll be glad to help. Feel free to send us a DM with what's happening 🙂 /Q,general_information,
"Seems to me u label music with a sexual preference, which is odd, and that music in turn with a user. Feels very inappropriate and not pc.","We're sorry you feel that way, and rest assured that's not the case. We've let the right folks know how you feel about this /Q",general_information,
"hi! When I open Spotify, it shows me that I can't use anymore. Help me with that please! 🙌🏼👍🏼👏🏼🙏🏼🤝","Hey there, that doesn't sound right. Can you send us a screenshot of any error messages that you're getting when you try to use the app? We'll check it out /SY",technical_issue,
aye u should be able to save playlists and change them and make them personal,Hi there! We have some info on how to do that at Hope this helps. Let us know if you have any other questions /NY,technical_issue,
"No error messages, the music just cuts out every 10-15 seconds.",Got it. Could you try using an incognito window or a different browser to see if it helps? Let us know how it goes /NS,playback_audio,
Thank you! :),"No worries. If there's anything else, just give us a shout. Have a... 🙂 /AY",non_support,
why no 'So' by Peter Gabriel? One of my faves from when I was a young un that I'm disappointed to find missing from your library,"Hey, we hear you! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /TR",content_availability,
does spotify including gaming content? Because it withdraws credit from my phone Rp 2.000/day. And it is everyday,Hey Farah! We've just sent a DM your way. Let's carry on chatting there /CP,content_availability,
for a third time today guys i am contacting you. Please help me get rid of this. I even deleted my last fm acc and it still shows up,"Hey there, we'd love to help! Can you let us know the versions of Android and Spotify you're running? We'll see what we can suggest /AG",account_access,
can you please add a feature to only view releases from artist you follow.,Don't worry - we'll make sure to pass your feedback on to the relevant folks 😁 /SY,feature_request,
never mind! you're good,"Thanks for the kind words. If we can help with anything else, you know where to find us 🙂 /AY",non_support,
"Yes, I'll do! Thanks again","No worries! If you ever need anything else, just shout and we'll come running 🏃 /DF",general_information,
Yo where's the Classical genre? Can't find it anymore.,"Hey there, help's here! In the Search bar, just type spotify:genre:classical. Enjoy the music 🎶 /TI",content_availability,
how can I find different versions of the same album? e.g. I have both and saved but I can only find the latter by searching now. There is no “x more release(s)” link at the bottom of the track list.,Hi Ben! Can you send over a screenshot of what you're seeing? We'll take a closer look /QI,content_availability,
"Hi, I pay for preiumn, but can't access it, it tells me I am on Free, have tried sorting problem with web site but no luck, problem started when I git a new phone in August. Any ideas before I cancel my account. Thank you",Hey Simon! That doesn't sound right. Can you DM us your account's email address or username? We'll take a look backstage /KM,subscription,
when is Spotify going to be available in Egypt?,"Hey there! We don't have a target date yet, but we're launching regularly in countries around the world. Be sure to add your email at Give us a shout if we can help with anything else /MA",content_availability,
Put Gfriend’s song “Me Gustas Tu” back on Spotify before I cry myself to sleep,"Fingers crossed we'll have it available to you soon, but there's info about Spotify content here: /KM",content_availability,
Germany!,Great! You can give Ride a listen here: 🙂/TB,non_support,
"i found out that ive been getting charged with a premium in my itunes “subscription” but i have been unsubscribed since september and i’m just on my free account, i can’t find any help feature to reach out to your app CS",Hey there! Can you DM us your account's email address? We'll take a look /RB,billing_payment,
"Couldn’t work out why my had stopped playing, then I start to hear ‘wind the bobbin up’ being played downstairs... I need a family account! #parentingproblems","Hey Richard, we hear you! You can sign up for Premium for Family at so you and up to 5 members of the same household can each enjoy their individual, Premium accounts. If you need any help, just DM us your account's username or email address 🙂 /LP",playback_audio,
In the middle of down with the sickness.,Thanks! Does it happen when you use the web player in an incognito or a private browsing window? /SY,non_support,
English (English),"In this case, content such as playlists are based on the location of your account. Since yours is set to Austria, the content will show up in German. The language setting on your app will only affect the menus. We hope this clears things up /LM",general_information,
"But 3,333 songs is practically a third of my library and I want to download my whole library on my phone😭😭","We hear you 🎧 Thanks for taking the time to reach out – your feedback will be passed on to the right folks. For anything else, feel free to send a tweet our way /DN",feature_request,
"Why the heck does my now play me 20 seconds of a song I choose and then randomly put me on a random, shitty playlist?","Hi Richard, help's here! Can you let us know your phone's model, as well as its iOS and Spotify versions? We'll see what we can suggest /DV",playback_audio,
That fixed It! ☺,Awesome! Let us know if you ever need us again. We'd be... /RB,general_information,
I’ve reached my maximum number of downloads is that an achievement? 😂,"Hey Andros, congratulations! That is quite an achievement. Don't forget to share your... 🎉 /LX",general_information,
I have a free account. I want to upgrade via the 3 month offer. But it’s not possible to do this via Spotify on my iPhone. Grrr!,"Hey, help's arrived! Could you shoot us a DM with your username and email address? We'll check it out 🔍 /JY",subscription,
"It’s December tomorrow, do we get our year end Spotify info soon??","Hey David, thanks for reaching out! We don't have any info to share right now. You can still check up on your listening habits here: 🙂 /JN",general_information,
How do we hide this “Find Friends” window on the Mac app? I don’t use it and it’s a waste of space.,"Hey Michael! You can hide that section by clicking View &gt; unchecking Right Sidebar. If there's anything else, just give us a shout /RH",general_information,
"I've been trying to select ""no"" for this option multiple times but every time after closing the settings, it goes right back to ""minimized."" I do not want this to boot up at startup. What gives?",Hey Dylan! Can you let us know which versions of Spotify and Windows you're running? We'll see what we can suggest /RA,technical_issue,
